id,category_id,category_label,label,description,prix_eur,duree_min,genre,longueur,is_chemical,notes
coupe_femme_court,coupes,Coupes & Brushings,Coupe femme cheveux courts,Coupe + séchage,45,45,F,court,,
coupe_femme_mi_long,coupes,Coupes & Brushings,Coupe femme mi-long,Coupe + séchage,55,60,F,mi-long,,
coupe_femme_long,coupes,Coupes & Brushings,Coupe femme cheveux longs,Coupe + séchage,65,75,F,long,,
coupe_homme,coupes,Coupes & Brushings,Coupe homme,Coupe + finition,25,30,M,tout,,
coupe_enfant,coupes,Coupes & Brushings,Coupe enfant,-12 ans,18,20,mixte,tout,,
brushing_court,coupes,Coupes & Brushings,Brushing cheveux courts,Mise en forme et séchage,30,30,F,court,,
brushing_mi_long,coupes,Coupes & Brushings,Brushing mi-long,Mise en forme et séchage,40,45,F,mi-long,,
brushing_long,coupes,Coupes & Brushings,Brushing cheveux longs,Mise en forme et séchage,50,60,F,long,,
couleur_racines,couleurs,Couleurs & Colorations,Couleur racines,Application racines,55,60,F,tout,yes,
couleur_globale_court,couleurs,Couleurs & Colorations,Couleur globale courts,Coloration complète,65,75,F,court,yes,
couleur_globale_long,couleurs,Couleurs & Colorations,Couleur globale longs,Coloration complète,85,90,F,long,yes,
balayage_court,balayages,Balayages & Mèches,Balayage cheveux courts,Balayage + brushing,90,120,F,court,yes,
balayage_mi_long,balayages,Balayages & Mèches,Balayage mi-long,Balayage + brushing,110,150,F,mi-long,yes,
balayage_long,balayages,Balayages & Mèches,Balayage cheveux longs,Balayage + brushing,135,180,F,long,yes,
meches_court,balayages,Balayages & Mèches,Mèches courts,Mèches + brushing,80,105,F,court,yes,
soin_keratine,soins,Soins & Traitements,Soin kératine lissant,Lissage brésilien,150,120,F,tout,yes,
soin_profond,soins,Soins & Traitements,Soin nutrition profonde,Masque + soin,25,30,F,tout,,
permanente,techniques,Techniques Permanentes,Permanente,Boucles durables,80,120,F,tout,yes,
defrisage,techniques,Techniques Permanentes,Défrisage,Lissage chimique,90,120,F,tout,yes,
